"Game_id","Team_id","Player_id","x_0","y_0","x_1","y_1","Throw_outcome","Possession_outcome"
"2021-06-05-BOS-PIT",219,8945,24.26,43.9,14.71,90.87,"Completion",1
"2021-06-05-BOS-PIT",219,8923,14.71,90.87,23.97,107.54,"Goal",1
"2021-06-05-BOS-PIT",219,8928,0,40,12.24,32.11,"Completion",0
"2021-06-05-BOS-PIT",219,8934,12.24,32.11,-21.64,44.7,"Completion",0
"2021-06-05-BOS-PIT",219,9446,-21.64,44.7,-25.29,53.15,"Completion",0
"2021-06-05-BOS-PIT",219,9577,-25.29,53.15,-23.25,78.64,"Completion",0
"2021-06-05-BOS-PIT",219,8928,-23.25,78.64,1.53,101.72,"Turnover",0
"2021-06-05-BOS-PIT",219,8934,7.65,21.18,3.35,34.87,"Completion",1
"2021-06-05-BOS-PIT",219,8928,3.35,34.87,-11.59,34.51,"Completion",1
"2021-06-05-BOS-PIT",219,8945,-11.59,34.51,-6.78,34.66,"Completion",1
"2021-06-05-BOS-PIT",219,8934,-6.78,34.66,21.78,36.04,"Completion",1
"2021-06-05-BOS-PIT",219,8926,21.78,36.04,23.24,55.48,"Completion",1
"2021-06-05-BOS-PIT",219,8937,23.24,55.48,23.24,76.31,"Completion",1
"2021-06-05-BOS-PIT",219,8928,23.24,76.31,4.51,58.9,"Completion",1
"2021-06-05-BOS-PIT",219,8937,4.51,58.9,-18.37,75.43,"Completion",1
"2021-06-05-BOS-PIT",219,9577,-18.37,75.43,-18.66,89.85,"Completion",1
"2021-06-05-BOS-PIT",219,8945,-18.66,89.85,-23.68,112.06,"Goal",1
"2021-06-05-BOS-PIT",219,9580,0,40,5.61,41.14,"Completion",0
"2021-06-05-BOS-PIT",219,9446,5.61,41.14,2.55,49.07,"Completion",0
"2021-06-05-BOS-PIT",219,9580,2.55,49.07,-22.08,47.54,"Completion",0
"2021-06-05-BOS-PIT",219,9446,-22.08,47.54,-18.29,46.67,"Completion",0
"2021-06-05-BOS-PIT",219,8928,-18.29,46.67,0.65,45.87,"Completion",0
"2021-06-05-BOS-PIT",219,8937,0.65,45.87,10.34,47.33,"Completion",0
