"X_0","Y_0","X","Y","Score_Prob"
9,25,5,95,0.49
10,25,5,95,0.54
1,20,5,95,0.5
2,20,5,95,0.49
3,20,5,95,0.42
4,20,5,95,0.4
5,20,5,95,0.46
6,20,5,95,0.46
7,20,5,95,0.37
8,20,5,95,0.42
9,20,5,95,0.49
10,20,5,95,0.52
1,15,5,95,0.54
2,15,5,95,0.48
3,15,5,95,0.44
4,15,5,95,0.45
5,15,5,95,0.45
6,15,5,95,0.52
7,15,5,95,0.45
8,15,5,95,0.39
9,15,5,95,0.49
10,15,5,95,0.52
1,10,5,95,0.54
2,10,5,95,0.51
3,10,5,95,0.46
4,10,5,95,0.44
5,10,5,95,0.48
6,10,5,95,0.51
7,10,5,95,0.45
8,10,5,95,0.45
9,10,5,95,0.51
10,10,5,95,0.51
1,5,5,95,0.56
2,5,5,95,0.52
3,5,5,95,0.42
4,5,5,95,0.47
5,5,5,95,0.53
6,5,5,95,0.48
7,5,5,95,0.44
8,5,5,95,0.45
9,5,5,95,0.48
10,5,5,95,0.47
1,0,5,95,0.59
2,0,5,95,0.55
3,0,5,95,0.45
4,0,5,95,0.49
5,0,5,95,0.49
6,0,5,95,0.5
7,0,5,95,0.43
